Unnamed: 0.1,Unnamed: 0,text,label,cleaned_text
0,0,Imagine how many have done this already and got away with entering ,0,imagine how many have done this already and got away with entering
1,1,JW filed a FOIA lawsuit against State Treasury seeking answers on Obama Admin's $400 million cash pymt to Iran. ,0,jw filed a foia lawsuit against state treasury seeking answers on obama admins million cash pymt to iran
2,2,I am curious as to how many priests impregnanted young girls and used abortion to ,0,i am curious as to how many priests impregnanted young girls and used abortion to
3,3,"Should read blames Obama, diminishes the intelligence community and slams CNN and ",0,should read blames obama diminishes the intelligence community and slams cnn and
4,4,"Global Payroll Specialist Assistant Manager, Dublin - ",0,global payroll specialist assistant manager dublin
5,5,White gay: but I thought the b in lgbt stands for babadook ,1,white gay but i thought the b in lgbt stands for babadook
6,6,Dear you - your husband worked the rescue boats in the Med. Plse may we chat off record katie@katiehopkins.co.uk ,0,dear you your husband worked the rescue boats in the med plse may we chat off record katiekatiehopkinscouk
7,7,They were conducted by two priests to a bench placed in front of the house in the open ,0,they were conducted by two priests to a bench placed in front of the house in the open
8,8,No body can convince me that Barak Hussein Obama was working to weaken America since his ideology is well known and it is compared to ,0,no body can convince me that barak hussein obama was working to weaken america since his ideology is well known and it is compared to
9,9,Trump: Obama Knew About Election Meddling Back In Early August And Did Nothi (pls ️️ ,0,trump obama knew about election meddling back in early august and did nothi pls
10,10,It's a sign of the current weakness of UK liberal centre that it's most popular commentators such as are ,0,its a sign of the current weakness of uk liberal centre that its most popular commentators such as are
11,11,has just given a speech exposing the flaws in our the PM's approach to the Brexit negotiations here&gt; ,0,has just given a speech exposing the flaws in our the pms approach to the brexit negotiations heregt
12,12,Media never show anything against Maulvees Priests as dey have enough plots 2 defame Hindu saints. ,0,media never show anything against maulvees priests as dey have enough plots defame hindu saints
13,13,Bitch can't sleeep at all. Too much on my ,0,bitch cant sleeep at all too much on my
14,14,'09 Obama - Listen up Racists Elections have consequences. Peaceful transition of power! If Dem's aren't Seditious… ,0,obama listen up racists elections have consequences peaceful transition of power if dems arent seditious
15,15,"Leave Hobby Lobby alone! God expressly stated no birth control and no gay marriage, but never said anything about ",0,leave hobby lobby alone god expressly stated no birth control and no gay marriage but never said anything about
16,16,bullshit asymmetry post feat. ,0,bullshit asymmetry post feat
